,x,y,z,average2,average3,average4,average5,average6,complete2,complete3,complete4,complete5,complete6,single2,single3,single4,single5,single6,ward2,ward3,ward4,ward5,ward6
Y1_316,-18.260932719102335,-6.589081947943542,-0.17615625163398702,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_302,-17.623599863404614,-7.382361627354835,3.0964872899538043,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_114,-18.96193491002108,-0.35460327409522086,6.582518305323528,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_101,-17.600181674157508,-7.274365801309863,4.714202937789956,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_115,-18.515750492108726,-6.936244993141311,2.0504192277845226,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_303,-16.77944441494536,-9.113787935177738,3.997776603938986,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_317,-18.073209016401837,-6.536535188740777,3.4279189314510417,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_329,-18.575020732133254,-3.541997581734793,4.9087951343244365,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_301,-17.311244756893934,-3.5740587826359964,9.289796505149203,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_315,-19.208460204695378,-3.2409920760689293,2.04039799490954,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_103,-18.069113422534198,-7.075338945151603,0.4797639717196792,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_117,-18.37931586253916,-6.437067911669094,0.5859527755341236,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_116,-18.60094971220781,-5.578882787095259,1.8893907210489063,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_102,-17.097037161332697,-0.7710898033543934,9.231592920579727,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_314,-18.30733931616274,-3.447583967415394,5.995123970701217,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_328,-18.447866377760896,-3.3462876485951396,5.605728949919823,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_213,-18.741596847876487,-3.219464680490321,5.103205877457049,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_207,-17.259045731787687,-1.955005062485241,8.857835132559845,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_206,-17.471629825817114,-8.09701749689384,2.7942389714037206,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_212,-17.48565952485408,-8.614648523073148,2.642677301168524,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_204,-16.725665506637714,-9.700060257570385,2.5250316380361535,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_210,-17.842726248024473,-6.797492340614743,3.5289203748368516,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_211,-17.107784001006042,-1.276160403718332,8.940699850704085,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_205,-18.435467217809062,-2.7203473442365307,6.168812708994301,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_349,-17.810763671793516,-5.421712391581526,5.3380821848745015,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_201,-18.22256601585172,-1.794191467962784,7.227584574323407,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_215,-17.58628303672101,-3.2089416781840945,7.795661896647863,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_214,-18.274694079976598,-1.4233530531777872,7.2162028057976455,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_348,-17.77736033129519,-0.5904778534689453,8.394679930427143,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_216,-18.766375461523833,-4.73398364319655,1.305316999485123,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_202,-18.103510235912523,-3.906937969648285,6.116575761613049,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_203,-19.37027702812132,-1.5650709186078138,4.445789290722484,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_217,-19.066140675788546,-2.6837673183331265,3.4903654803580855,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_346,-18.204703604227515,-6.363007385611026,2.7903093365467786,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_347,-18.73529640922481,-3.34110469458549,4.674494738916149,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_345,-16.99864560710402,-0.43105113612964674,9.196752575055609,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_219,-18.863438675670178,-2.8228801202627447,4.251790012136088,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_218,-19.405526828966845,-1.428455179654303,4.577596256125787,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
