,x,y,z,average3,average4,average5,average6,average7,average8,average9,average10,complete3,complete4,complete5,complete6,complete7,complete8,complete9,complete10,single3,single4,single5,single6,single7,single8,single9,single10,ward3,ward4,ward5,ward6,ward7,ward8,ward9,ward10
Y1_222,-2.04636561903757,-0.2046149801974547,0.45435366333582367,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_342,-2.057594236123014,0.15808875717977303,0.6701592329360608,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_325,-2.103450933939805,-0.09711833600551419,0.31066316681936057,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_331,-2.0822173641688346,-0.28441840554556486,0.24316139990209154,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_319,-2.0640399489816845,0.018243316158479236,0.4579424497162813,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_127,-1.9614042081461474,-0.7687203472585052,0.3268869738306295,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_126,-1.5484669642680398,-0.035473750525615376,1.0663963960980596,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_318,-2.100922854211075,-0.20560531036615595,0.1358176643162617,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_330,-2.041977579219547,-0.35868823072905,0.32598084701259467,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_324,-2.0598575002392754,-0.49859749636693235,0.06388827212191955,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_332,-1.3167051368081677,0.14130399888415276,1.186693791085652,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_326,-1.7435774386358238,-0.3152360106556838,0.8776693501680422,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_124,-2.073727354815298,-0.42454060996023607,0.19604013783884558,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_118,-0.9983831212722569,0.23695836365924924,1.2969077614645559,0,0,4,4,4,1,0,8,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,1,0,1,1,0,7,7,7
Y1_119,-1.6396804494515755,0.13811551729411095,1.0466111279993389,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_125,-1.6891554821539618,-0.12660487451453242,0.8895722674723048,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_327,-1.912437842751062,-0.34677737639290457,0.6990130259246026,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_333,-2.0760179455439616,-0.16945046621772603,0.40022920616251256,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_337,-2.0598652077597115,-0.46892811154863523,0.3866097953444529,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_323,-2.0478881028902705,-0.10079882244109739,0.5177784478765365,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_109,-1.7437102270275213,-0.21195998270984978,0.9886501338855245,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_121,-2.0589545409017025,-0.21464309068525733,0.4290164744352554,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_120,-2.0608242483428034,-0.3270750613033407,0.25739904768555855,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_108,-1.548020356496528,-0.2285925102094574,1.3637492385111987,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_322,-1.8518973532982388,0.12961054547619125,0.8922308508527308,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_336,-1.811352194675617,0.09802222023250577,0.9064138684350886,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_308,-2.078690418457657,-0.3417793678648338,0.1691325904095844,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_320,-1.9490499379641615,0.034190930618603566,0.7753629898062981,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_334,-2.06362737957539,0.047151834391947534,0.49108241920259393,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_122,-2.114824880402832,-0.14498261605468896,0.17475482149126828,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_123,-1.6044694652045695,-0.5264388790283578,0.8467692571294037,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
