,x,y,z,average2,average3,average4,average5,average6,average7,average8,average9,average10,complete2,complete3,complete4,complete5,complete6,complete7,complete8,complete9,complete10,single2,single3,single4,single5,single6,single7,single8,single9,single10,ward2,ward3,ward4,ward5,ward6,ward7,ward8,ward9,ward10
X1_23,48.2611158223331,104.838565323335,-25.101886621076083,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_9,152.07616296315945,113.72107359836431,-274.5044630741043,0,0,2,0,5,5,5,5,5,0,0,1,0,1,1,0,8,8,0,2,0,1,1,1,1,3,3,1,1,0,1,1,1,0,0,5
X1_35,76.58653913995552,277.4338787789759,218.3428139707529,0,2,0,2,0,6,2,2,0,0,0,0,4,4,4,4,4,9,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,7,7,7
X1_21,-133.37925591235097,123.13511279904492,113.73626862048243,0,2,0,1,1,1,1,0,2,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_20,19.30758600320686,-98.31153155550145,-44.79227187460729,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_34,69.58534956845239,-89.45732969852698,-50.57142574091159,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_8,183.53806883027042,-64.23330569468808,44.87001115546471,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_127,-56.44415817342471,204.96435525235154,188.57772812569206,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,6,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_133,49.28261677067288,173.44976991149622,-14.24487988393706,0,2,0,1,1,1,1,0,2,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_53,-114.2417502143528,-166.68062549815284,-261.9981280494685,0,0,2,0,2,2,0,3,3,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,5
X1_47,140.9732583702232,216.49777930370277,-23.58476015752106,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_90,-217.12577066203147,-53.98084102327645,91.39587475543445,0,2,0,1,1,1,1,0,2,0,0,0,1,0,6,6,6,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
X1_84,-180.8852873544235,194.14862789550946,230.31812369725492,0,2,0,2,0,6,2,2,0,0,0,0,1,0,2,2,0,6,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,7,7,7
X1_85,86.80489896608226,-108.53147574716569,102.14244909903229,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_91,-190.09727827250398,-100.62016293005343,14.69237822913161,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
X1_46,178.176266012143,-14.694871869982151,-39.03729025008794,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_52,71.28131900430756,353.26362004298056,134.4247093012923,0,2,0,2,0,6,2,2,0,0,0,0,4,4,4,4,4,9,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,7,7,7
X1_132,-85.40566603736465,-285.85343303304495,-219.9590101146816,0,0,2,0,2,2,0,3,3,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,5
X1_126,-36.30981389708836,-107.9723730982882,125.80371033170427,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_130,200.18535893896168,-316.4078379060374,10.943219398560139,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,3,3
X1_124,80.06072335965186,-55.91132642918521,-22.612173747458826,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_118,-19.66963573550101,21.61226903618895,58.5162032335155,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_44,-230.83783766707487,80.21965547660658,98.94674235072355,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_50,179.29072239208625,-16.985551406382328,-37.817102361807926,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_78,5.754671424705362,215.41554340581152,27.9250057492755,0,2,0,1,1,1,1,0,2,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_87,14.898794005353233,82.01379144213156,-168.38451630020825,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_93,-35.16839155078656,81.60397989712608,-205.9923062717289,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
X1_92,123.94374734370875,-435.9765120308474,-59.03976383768116,0,0,1,4,4,4,4,4,9,0,0,1,0,5,5,5,5,5,0,0,1,0,2,2,2,2,2,1,1,0,1,1,1,0,3,3
X1_86,-127.89606763953246,-290.0811194166696,-50.223241581062695,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,3,3
X1_79,1.329895449892355,-32.78071076008683,5.288666299184177,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_51,21.034414637481277,-121.43364264738216,-229.62429568649083,0,0,2,0,2,2,0,3,3,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,5
X1_45,10.181812421508253,21.41716545991217,-181.7414838943389,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_119,96.37845097091238,-108.73311528760071,146.46787687116816,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_125,10.519939321248952,86.3296129577116,103.00767082207267,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_131,-4.773171762681324,-73.38997841181303,70.702526817878,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_109,84.49708595975487,29.174267244734228,100.58418378825395,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_135,133.93568014809142,178.48507132079115,79.21167756341377,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_121,39.79158277334576,74.22365318707844,133.31693248908564,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_69,10.618842292621217,-263.99191786414775,-8.640265686699747,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,4
X1_41,-167.23561976481727,-241.57646960607838,23.385039596418288,0,0,2,0,2,2,0,3,3,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,5
