,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
X1_68,-0.10283577983699475,0.0322712860377483,0.9895991737062271,0,1,1,0,1,0,2,2,2,1,0,4
X1_120,2.407363732246002,-6.217303639105111,-0.2549962567861596,2,2,0,1,3,1,0,0,1,0,1,0
X1_134,-1.079357004218025,2.8141377697265004,-0.6132408016311578,0,1,1,0,1,0,2,2,2,1,0,1
X1_108,0.05063806247858176,-0.49690310984958797,-1.19365126547421,0,1,1,0,1,0,2,2,2,1,0,4
X1_122,-1.0577632910259074,0.4212769623258429,-0.7398872692917182,0,1,1,0,1,0,2,2,2,1,0,4
X1_136,-0.5074352717021179,1.5575594924264555,0.2917078889654695,0,1,1,0,1,0,2,2,2,1,0,1
X1_56,-0.47506382118702856,-1.5364274534947913,1.2781933944647483,0,0,4,0,0,4,2,2,2,2,2,2
X1_42,-1.0345921380259337,0.9613182329166099,0.1776785099735646,0,1,1,0,1,0,2,2,2,1,0,1
X1_95,-0.3443812225037377,-0.07770901166120743,-0.5196977748572126,0,1,1,0,1,0,2,2,2,1,0,4
X1_81,2.018163292493333,-1.8604317460268125,0.5374898211827738,0,0,4,0,0,4,2,2,2,2,2,2
X1_80,0.4197502407544067,1.5837553967923603,0.6315763328900081,0,1,1,0,1,0,2,2,2,1,0,4
X1_94,-0.7212213440171481,1.3736429591421682,-0.09665786250096454,0,1,1,0,1,0,2,2,2,1,0,1
X1_43,0.6569742476635685,-2.3468290228731705,-0.7481345467396947,0,0,4,0,0,4,2,2,2,2,2,2
X1_57,1.292495119589231,1.2047317695505637,-1.1963867400832233,0,1,1,0,1,0,2,2,2,1,0,4
X1_137,-0.14880910199385516,1.937895193207226,-0.8421160831361696,0,1,1,0,1,0,2,2,2,1,0,1
X1_123,-0.2952995677440175,0.14273775056104232,-0.8580842175682732,0,1,1,0,1,0,2,2,2,1,0,4
